Incident,Time,Nature,Address
14F143957,00:02:39,30 TRAFFIC STOP,1400 CREIGHTON AVE E & REED ST
14F143958,00:04:51,46 DOMESTIC,3000 DREXEL AVE
14F143959,00:07:07,46 DOMESTIC,2500 JOHN ST
14F143960,00:07:49,63 CONTACT,600 KENWOOD AVE
14F143961,00:13:35,40A AUDIBLE,1400 HARRISON ST S
14F143962,00:17:33,129,7500 LAKERIDGE DR
14F143963,00:28:43,129,7400 ANTHONY BLVD S
14F143964,00:29:07,129,7400 ANTHONY BLVD S
14F143965,00:31:27,"51,35",6100 BLACK OAK BLVD
14F143966,00:32:02,911 HANG UP,1200 WOOD MOOR DR
14F143968,00:35:43,40A AUDIBLE,1600 CALHOUN ST S
14F143967,00:36:54,14S SERVING WAR,1900 FOX POINT TRL
14F143969,00:38:45,23 VANDALISM,11100 BITTER DELL CT
14F143970,01:01:35,"46,96",2100 FOX AVE
14F143971,01:13:01,66 MENTALLY ILL,200 PETTIT AVE E
14F143972,01:13:49,40A AUDIBLE,1600 CALHOUN ST S
14F143973,01:15:44,40A AUDIBLE,3100 INDEPENDENCE DR
14F143975,01:32:51,40A AUDIBLE,4100 JEFFERSON BLVD W
14F143974,01:33:34,33 DISABLED VEH,6300 COLDWATER RD & I 69 NB
14F143976,01:37:21,43 DISTURBANCE,3900 NEWPORT AVE
14F143977,01:42:50,"46,96",3300 PLAZA DR
14F143978,01:47:30,40L LISTENING,3500 ANTHONY BLVD S
14F143979,01:56:38,129,800 TENNESSEE AVE
14F143980,01:58:06,"48,36",1400 DUPONT RD W
14F143981,02:02:25,50IP BURG I/P,1300 LAKEWOOD DR
14F143982,02:03:33,40A AUDIBLE,1900 WAYNE ST E
14F143983,02:07:38,30 TRAFFIC STOP,4200 WARSAW ST & MCKINNIE AVE
14F143984,02:09:14,30 TRAFFIC STOP,400 COLISEUM BLVD W & LIMA RD
14F143985,02:17:15,40A AUDIBLE,4000 REED ST
14F143986,02:18:26,48 SUSPICIOUS,1700 COLERICK ST & ANTHONY BLVD S
14F143987,02:19:10,50IP BURG I/P,4500 REED ST
14F143988,02:28:33,48 SUSPICIOUS,3000 INDIANA AVE
14F143989,02:28:48,911 HANG UP,1000 WALLACE ST E
14F143990,02:42:52,40A AUDIBLE,1000 ARCHER AVE
14F143991,02:51:22,14 WARRANT,3900 NEWPORT AVE
14F143992,02:52:06,65T SUICIDE THR,3300 OAK GLEN TRL
14F143993,02:54:21,40A AUDIBLE,1600 WASHINGTON BLVD E
14F143994,02:56:26,15 ASSIST,3000 DREXEL AVE
14F143995,03:07:22,"48,36",10100 MAYSVILLE RD
14F143996,03:10:00,49 PROWLER,900 HIGH ST
14F143997,03:19:01,43 DISTURBANCE,700 HUFFMAN ST
14F143998,03:23:44,911 HANG UP,3200 LILLIE ST
14F143999,03:59:21,911 HANG UP,200 WILLIAMS ST W
14F144000,04:08:51,129,1500 LAKEWOOD DR
14F144001,04:39:42,53 ARMED ROB,5100 WINTER ST
14F144002,04:53:16,34 TRAFF HAZARD,8800 BAER RD & AIRPORT EXPRESSWAY
14F144003,04:59:59,103 UNWANTED,300 BERRY ST W
14F144004,05:14:07,30 TRAFFIC STOP,9800 ILLINOIS RD
14F144005,05:16:22,63 CONTACT,2500 STARDALE DR
14F144006,05:24:29,30 TRAFFIC STOP,1700 LUDWIG RD W & LIMA RD
14F144007,05:28:54,48 SUSPICIOUS,8300 LAKESIDE CT
14F144008,05:39:57,43 DISTURBANCE,3500 COLISEUM BLVD W
14F144009,05:43:34,911 HANG UP,4700 REED ST
14F144010,05:45:30,911 HANG UP,6800 DECATUR RD
14F144011,06:01:48,911 HANG UP,3300 HARRISON ST S
14F144012,06:26:44,40A AUDIBLE,4400 WASHINGTON CENTER RD W
14F144013,06:40:49,911 HANG UP,4800 WINTER ST
14F144014,06:46:27,23IP VANDALISM,1200 MICHIGAN AVE & NELSON ST
14F144015,06:46:56,103 UNWANTED,1100 CHUTE ST
14F144016,06:47:42,911 HANG UP,100 MASTERSON AVE E
14F144017,07:01:11,62 PARTY ARMED,3600 OLIVER ST
14F144018,07:05:03,41 MAN DOWN,1900 PONTIAC ST E
14F144035,07:18:07,18 WORK TRAFFIC,2800 SHERMAN BLVD & MILDRED AVE
14F144019,07:20:23,45 NEIGHBORHOOD,2500 WHITE OAK AVE
14F144020,07:20:29,40A AUDIBLE,5300 WILLOWHURST DR
14F144021,07:22:56,40A AUDIBLE,1100 OXFORD ST
14F144022,07:26:02,"23,35 VAND VEH",1000 ELNORA DR
14F144023,07:26:53,34 TRAFF HAZARD,2700 STATE BLVD E & BEACON ST
14F144024,07:26:54,25 PD ACCIDENT,5700 HOMESTEAD RD & LIBERTY MILLS
14F144025,07:29:04,"46,96",1300 ORCHARD ST
14F144026,07:33:37,16V PICKUP VID,00 MAIN ST E
14F144027,07:35:09,911 HANG UP,1000 MEMORIAL WAY
14F144029,07:38:40,911 HANG UP,4800 ANTHONY BLVD S
14F144030,07:39:20,22I JUV INVEST,1500 CALVERT CT
14F144028,07:40:32,25 PD ACCIDENT,4100 GOSHEN RD & WASHINGTON CENTER
14F144031,07:48:39,43 DISTURBANCE,6000 COVINGTON RD
