Incident,Time,Nature,Address
14F145642,00:09:22,113 SHOTS FIRED,2300 NEW HAVEN AVE
14F145643,00:13:59,30 TRAFFIC STOP,1000 PONTIAC ST E
14F145644,00:16:46,911 HANG UP,4300 MERIDITH DR
14F145645,00:19:14,911 HANG UP,4000 AVONDALE DR
14F145646,00:26:09,15 ASSIST,3800 FERGUSON RD W
14F145647,00:28:20,911 HANG UP,5300 YORKSHIRE DR
14F145648,00:36:09,102 THREATS,3500 HARRIS RD
14F145649,00:36:20,30 TRAFFIC STOP,200 ELIZABETH ST & CLINTON ST N
14F145659,00:38:43,44LP,3900 NEWPORT AVE
14F145650,00:39:00,62 PARTY ARMED,2700 COLISEUM BLVD W
14F145653,00:45:19,40A AUDIBLE,3800 LIMA RD
14F145651,00:45:53,70 FIRE,2600 GLENCAIRN DR
14F145652,00:46:30,40 ALARM,900 GLASGOW AVE
14F145655,00:48:23,911 HANG UP,1200 FAIRFIELD AVE
14F145654,00:48:39,30 TRAFFIC STOP,1800 WAYNE TRACE E & ANTHONY BLVD
14F145656,00:50:54,44LM,5300 MCCLELLAN ST
14F145658,00:51:48,"23,113",3700 CONGRESS AVE
14F145657,00:53:08,22I JUV INVEST,800 BUCHANAN ST
14F145660,00:58:55,"23,35 VAND VEH",600 CALHOUN ST S
14F145661,01:05:00,"48,36",1000 CREIGHTON AVE W & BROADWAY
14F145662,01:10:14,103 UNWANTED,1600 RIVER RUN TRL
14F145665,01:14:34,30 TRAFFIC STOP,4700 OXFORD ST & MEYER RD
14F145663,01:16:12,61JO,100 STATE BLVD E & CLINTON ST N
14F145664,01:18:22,101 OPEN DOOR,4000 MONROE ST S
14F145666,01:20:06,113 SHOTS FIRED,5300 MCCLELLAN ST
14F145667,01:27:14,43 DISTURBANCE,2500 BROADWAY
14F145668,01:30:48,"48,36",3700 CONGRESS AVE
14F145669,01:36:07,40A AUDIBLE,8300 LIMA RD
14F145670,01:41:04,30 TRAFFIC STOP,3100 PAULDING RD E & HESSEN CASSEL
14F145671,01:51:56,911 HANG UP,2200 WAYNE TRACE E
14F145673,01:54:23,911 HANG UP,1400 ANTHONY BLVD N
14F145672,01:55:15,40A AUDIBLE,1800 MAGNAVOX WAY
14F145674,02:10:26,65A SUICIDE ATT,4300 FAIRFIELD AVE
14F145675,02:13:43,30 TRAFFIC STOP,30400 I 69 NB
14F145676,02:19:50,30 TRAFFIC STOP,1600 WELLS ST
14F145677,02:24:27,129,100 COLUMBIA ST W
14F145678,02:25:41,43 DISTURBANCE,2600 LOWER HUNTINGTON RD
14F145679,02:26:06,911 HANG UP,6400 LONDONDERRY LN
14F145680,02:33:02,113 SHOTS FIRED,1200 NUTTMAN AVE
14F145681,02:34:03,44LP,2400 BARNHART AVE
14F145683,02:38:40,43 DISTURBANCE,3800 NEWPORT AVE
14F145682,02:39:06,30 TRAFFIC STOP,800 COLISEUM BLVD W & SHERMAN BLVD
14F145684,02:44:26,48 SUSPICIOUS,4600 CEDAR CREST CIR W
14F145685,02:47:00,96JO,800 LAKE AVE & LOREE ST
14F145686,02:49:11,40A AUDIBLE,1100 CALHOUN ST S
14F145702,02:57:17,40A AUDIBLE,6500 STATE BLVD E
14F145703,02:58:29,40A AUDIBLE,6500 STATE BLVD E
14F145687,02:58:36,113 SHOTS FIRED,6200 STATE BLVD E & MAPLECREST RD
14F145701,02:58:38,62 PARTY ARMED,6500 STATE BLVD E
14F145688,02:59:47,41 MAN DOWN,1600 COLUMBIA AVE
14F145689,03:06:59,30 TRAFFIC STOP,4300 LIMA RD & COLISEUM BLVD W
14F145690,03:13:41,"48,36",4300 HOMESTEAD RD
14F145691,03:13:46,28 DUI,5800 ST JOE RD & ST JOE CENTER RD
14F145692,03:17:21,"46,96",500 FOURTH ST W
14F145693,03:21:30,113 SHOTS FIRED,4100 CLINTON ST S
14F145698,03:24:49,"48,35",1000 BAXTER ST & SMITH ST
14F145694,03:25:12,16V PICKUP VID,00 MAIN ST E
14F145695,03:26:35,30 TRAFFIC STOP,1900 BROADWAY & TAYLOR ST
14F145696,03:28:38,911 HANG UP,100 CREIGHTON AVE E
